Title,Author,Playtime,Male Count,Female Count
アンファン・ポトフ,宇吹萌,40～60分,2,2
2030,クワハラ―ノ・チュースキー,60～90分,0,1
カレーかハヤシか,ふじもり夏香,20～40分,0,2
アパイピシピテペルプ～水沢家の小さくて大きい物語～,ふじもり夏香,90～120分,2,4
"GOVERNMENT OF DOGS """"Refresh!""""",故林広志,60～90分,5,0
アトリエ・ジャマイカ,伊地知克介,2時間～3時間,10,10
人魚,田辺剛,60～90分,2,3
純粋パレス,田辺剛,40～60分,3,1
蜜柑とユウウツ～茨木のり子異聞～,長田育恵,90～120分,3,4
カヌー・ラジオ,伊地知克介,90～120分,5,10
『対話劇』,長谷川浩輝,40～60分,3,4
喫煙所,萩原宏紀,90～120分,2,4
夜の太陽,萩原宏紀,90～120分,2,5
Bridge,西史夏,20～40分,1,1
離宮のタルト,丸尾聡,90～120分,11,6
海が見えたとき,大西弘記,20～40分,2,1
しゃぼん玉の欠片を眺めて,大西弘記,90～120分,7,9
ゆらゆらと水,芳﨑洋子,60～90分,2,5
絶対恋愛王政,坂本鈴,20～40分,5,4
『ミソジニー！！』,サカモトエリ,20～40分,0,2
男の遺書,サカモトエリ,40～60分,1,0
飯縄おろし,丸尾聡,60～90分,7,2
The Early Best of すわ親治,故林広志,20～40分,1,0
業火の姫,鶴川里香,60～90分,10,14
天使といたとき,鶴川里香,60～90分,0,15
関門オペラ,田坂哲郎,90～120分,5,8
秘密収容所「トレイシーの夢」,可知日出男,40～60分,3,1
「ミカンの花が咲く頃に」,釘本光,90～120分,6,12
『凍て月』,上坂京子,90～120分,0,0
『皆の団地（カイノウチ）』,上坂京子,60～90分,0,5
ゆらぎ、碧い鳥、,大島寛史,60～90分,2,5
『大正ロマン～なかのオペラ村物語』,可知日出男,40～60分,5,3
にびいろの砦,雑賀聖,40～60分,0,5
クエーク クリップ クリック ～Quake Clip Click Click～ 完結版,加賀屋淳,90～120分,1,1
雨と猫といくつかの嘘,吉田小夏,60～90分,3,3
沙羅、すべり,芳﨑洋子,90～120分,2,4
奇跡,佐野和敏,60～90分,4,4
平行螺旋,こむろこうじ,40～60分,0,2
グランパと赤い塔,吉田小夏,2時間～3時間,8,7
親子恋行,こむろこうじ,40～60分,1,1
その十二支、諸説あり。,溝口優,90～120分,6,6
愛,溝口優,90～120分,7,7
悪左府,平野正喜,60～90分,15,0
ロスタイム,鏡味富美子,90～120分,2,6
彼らの敵,瀬戸山美咲,90～120分,5,1
春、夜中の暗号,宮園瑠衣子,40～60分,2,0
解体されゆくアントニン・レーモンド建築 旧体育館の話,オノマリコ,90～120分,0,9
tatsuya-最愛なる者の側へ,鐘下辰男,2時間～3時間,5,2
PW-PRISONER OF WAR,鐘下辰男,2時間～3時間,9,2
トマト,太田衣緒,40～60分,2,1
浅草ロ・ロ・ロック,うちやまきよつぐ,90～120分,5,6
幕末地球防衛軍,うちやまきよつぐ,90～120分,4,4
ここまでがユートピア,鹿目由紀,90～120分,8,7
薄い桃色のかたまり,岩松了,3時間以上,99,99
よかっちゃん,宮園瑠衣子,20～40分,2,3
ラストゲーム　最後の早慶戦,羽原大介,90～120分,12,0
スマイリースマイル,水沼健,60～90分,3,2
ニューヘアスタイルイズグッド,水沼健,60～90分,3,2
わが星,柴幸男,60～90分,0,0
タビダチノコトバ,景山圭祐,60～90分,2,0
ホエタマカイの夜,上田真弓,60～90分,3,1
天人のいた空,上田真弓,40～60分,0,0
妖怪狂言「冥加さらえ」,山川里海,20～40分,12,4
空の村号,篠原久美子,60～90分,6,4
徒然だ,なかじょうのぶ,40～60分,3,5
まぬけぬま,川村祥太,60～90分,6,4
ゆるやかに死んでいく,川村祥太,20～40分,2,1
異邦人の庭,刈馬カオス,60～90分,1,1
